date,time,totalMessageCount,likeCount,commentCount,imageCount,version,releasedAt
2026-05-20,13:38:50,457,2,1,2,,
2026-05-20,23:51:06,655,6,4,2,,
2026-05-20,23:52:04,655,6,4,2,,
2026-05-20,23:59:35,655,6,4,2,,
2026-05-21,00:02:38,655,6,4,2,,
2026-05-21,10:36:20,670,6,4,2,2,2026-05-20T01:38:25.431Z
2026-05-22,06:26:42,848,6,4,3,3,2026-05-21T02:30:32.934Z
2026-05-23,06:00:56,906,7,5,3,3,2026-05-21T02:30:32.934Z
2026-05-24,06:01:00,1013,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-25,12:51:31,1025,10,5,3,3,2026-05-21T02:30:32.934Z
2026-05-26,06:01:36,1053,10,5,3,3,2026-05-21T02:30:32.934Z
2026-05-27,06:01:01,1076,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-28,06:00:48,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-29,06:00:34,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-30,06:01:20,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-31,06:01:22,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-31,14:54:54,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-05-31,14:56:07,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-01,06:00:33,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-02,06:01:12,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-03,06:00:53,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-04,06:00:33,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-05,06:00:24,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-06,06:01:04,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-07,06:00:43,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-08,06:00:24,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-09,06:01:07,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-10,06:00:52,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-11,06:01:27,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-12,06:07:30,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-14,06:00:42,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-15,06:00:48,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-16,06:00:43,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-17,06:00:45,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-18,06:00:39,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-19,06:00:34,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-20,06:00:29,1085,9,5,3,3,2026-05-21T02:30:32.934Z
2026-06-21,06:00:25,1085,9,5,3,3,2026-05-21T02:30:32.934Z
